bestEpoch=4	 MRR = 0.0476	 Hit@5=0.063	 NDCG@5=0.0304	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=6	 MRR = 0.0517	 Hit@5=0.063	 NDCG@5=0.0331	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=8	 MRR = 0.0541	 Hit@5=0.0656	 NDCG@5=0.0357	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=10	 MRR = 0.061	 Hit@5=0.0656	 NDCG@5=0.0407	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=12	 MRR = 0.0632	 Hit@5=0.0682	 NDCG@5=0.0428	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=16	 MRR = 0.0684	 Hit@5=0.0682	 NDCG@5=0.0456	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=18	 MRR = 0.0724	 Hit@5=0.0761	 NDCG@5=0.0513	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=20	 MRR = 0.0754	 Hit@5=0.0761	 NDCG@5=0.0538	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=22	 MRR = 0.0785	 Hit@5=0.0814	 NDCG@5=0.058	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=24	 MRR = 0.0791	 Hit@5=0.0814	 NDCG@5=0.0584	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=26	 MRR = 0.0803	 Hit@5=0.084	 NDCG@5=0.0602	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=28	 MRR = 0.084	 Hit@5=0.0892	 NDCG@5=0.0648	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=32	 MRR = 0.0842	 Hit@5=0.0892	 NDCG@5=0.065	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=36	 MRR = 0.0845	 Hit@5=0.0892	 NDCG@5=0.0654	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=38	 MRR = 0.0848	 Hit@5=0.0892	 NDCG@5=0.0655	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=52	 MRR = 0.084	 Hit@5=0.0919	 NDCG@5=0.0658	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=64	 MRR = 0.0851	 Hit@5=0.0919	 NDCG@5=0.0667	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=66	 MRR = 0.0851	 Hit@5=0.0919	 NDCG@5=0.0667	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=68	 MRR = 0.0851	 Hit@5=0.0919	 NDCG@5=0.0667	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=78	 MRR = 0.0851	 Hit@5=0.0919	 NDCG@5=0.0667	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=80	 MRR = 0.0851	 Hit@5=0.0919	 NDCG@5=0.0667	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=82	 MRR = 0.0851	 Hit@5=0.0919	 NDCG@5=0.0667	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=84	 MRR = 0.0851	 Hit@5=0.0919	 NDCG@5=0.0667	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=86	 MRR = 0.0852	 Hit@5=0.0919	 NDCG@5=0.0667	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=BPR	 downEpoch=0
bestEpoch=2	 MRR = 0.0511	 Hit@5=0.0551	 NDCG@5=0.0292	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=4	 MRR = 0.0519	 Hit@5=0.0551	 NDCG@5=0.0296	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=6	 MRR = 0.0545	 Hit@5=0.0577	 NDCG@5=0.0322	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=10	 MRR = 0.06	 Hit@5=0.063	 NDCG@5=0.0372	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=12	 MRR = 0.063	 Hit@5=0.0682	 NDCG@5=0.0413	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=14	 MRR = 0.0696	 Hit@5=0.0709	 NDCG@5=0.0471	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=16	 MRR = 0.0729	 Hit@5=0.0787	 NDCG@5=0.0522	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=18	 MRR = 0.0774	 Hit@5=0.0814	 NDCG@5=0.0566	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=20	 MRR = 0.0807	 Hit@5=0.0787	 NDCG@5=0.0582	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=22	 MRR = 0.0825	 Hit@5=0.0787	 NDCG@5=0.0593	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=26	 MRR = 0.084	 Hit@5=0.0787	 NDCG@5=0.0602	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=28	 MRR = 0.0849	 Hit@5=0.0814	 NDCG@5=0.0619	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=36	 MRR = 0.085	 Hit@5=0.0814	 NDCG@5=0.0619	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
bestEpoch=44	 MRR = 0.0863	 Hit@5=0.084	 NDCG@5=0.0636	 dataset=./DataProcess/Tmall/TmallCarGraphTest.csv	 model=MF	 downEpoch=0
